Timestamp,Open_a,Open_b,High_a,High_b,Low_a,Low_b,Close_a,Close_b,Volume
2018-10-07,10142.62429877,6532.86410571,10580.82953294,6816.27114324,10130.19173187,6524.85628962,10420.14805246,6704.32361765,4.41630374
2018-10-06,10205.60926668,6574.50832100,10289.28441144,6627.32788131,10087.51120172,6498.42891304,10142.61298670,6532.85681960,1.78153769
2018-10-05,10179.40537446,6594.85673130,10240.32011210,6631.25130446,10148.53617702,6536.67194637,10212.73138631,6579.09642872,12.63535440
2018-10-04,9934.00567242,6465.34700451,10180.14931887,6605.71713788,9920.35865815,6447.26732715,10179.52868113,6594.93661709,9.49576740
2018-10-03,10038.48072452,6616.76583948,10053.49852054,6623.80493162,9918.85635179,6455.48737507,9934.00852642,6465.34886197,9.92713581
2018-10-02,10215.92599501,6743.55937557,10215.92599501,6743.55937557,9965.01837821,6578.31719079,10040.40195059,6618.03219675,5.88760824
2018-10-01,10035.99618737,6648.70195067,10256.66061279,6777.06479542,9971.20730371,6602.74454426,10178.31656778,6718.73329464,4.91307342
2018-09-30,9943.32205505,6581.49460885,10058.49587677,6657.72827427,9892.46599316,6547.83293166,9998.34068581,6623.75572690,2.51734131
2018-09-29,10179.19549689,6737.61947107,10179.19549689,6737.61947107,9936.39699804,6576.91090683,9943.32205505,6581.49460885,1.52939515
2018-09-28,10234.67353398,6771.25688988,10328.86650828,6827.98691651,10094.05540221,6675.09286304,10179.19549689,6737.61947107,5.81394942
2018-09-27,9892.86898048,6588.64855357,10221.30490535,6762.41220926,9849.10408371,6545.16413489,10221.30490535,6762.41220926,7.80506306
2018-09-26,9758.55977636,6479.68410620,9913.81660265,6602.18940649,9730.31535812,6479.68410620,9892.86898048,6588.64855357,10.14880374
2018-09-25,9853.64213490,6541.94568202,9878.61983670,6568.54135847,9717.77619574,6453.51225501,9758.55977636,6479.68410620,17.60730860
2018-09-24,9924.35077480,6629.86485200,9961.91902150,6643.31968448,9739.98290040,6489.02652791,9862.77956366,6548.01212546,6.83621344
2018-09-23,9941.86450512,6646.13336777,10114.15776948,6761.31136207,9856.22454159,6588.88307846,9924.35077480,6629.86485200,5.72589284
2018-09-22,10147.38475234,6783.46463823,10175.05235203,6801.96025939,9806.64610187,6556.72173603,9941.86450512,6646.13336777,4.43490189
2018-09-21,9549.26913619,6383.68348424,10158.70929068,6791.03502285,9536.53915230,6378.10696255,10147.38475234,6783.46463823,7.45185627
2018-09-20,9773.89526763,6493.46711120,9788.06233224,6501.12137136,9471.01907371,6332.77885047,9548.62104592,6383.25023610,7.70895773
2018-09-19,10099.65599249,6658.48018803,10123.84076698,6668.46758983,9584.29719111,6340.01174236,9725.05020193,6461.01599329,5.80300236
2018-09-18,9746.51905201,6400.22947403,10140.38494556,6679.23321575,9633.42096874,6348.80382292,10099.65599249,6658.48018803,4.55491082
2018-09-17,10189.77864676,6665.55374147,10231.76644629,6718.84072812,9620.20726487,6327.58508832,9720.80202181,6383.34191718,8.97020909
2018-09-16,9860.52616287,6458.71891194,10331.74613344,6772.63103107,9784.72774624,6409.07037809,10189.77864676,6665.55374147,1.91169515
2018-09-15,9976.28929159,6534.54463325,10212.96255803,6689.56740554,9872.36797133,6466.47538569,9872.36797133,6466.47538569,3.59074075
2018-09-14,9969.35432310,6557.77618650,10137.49731539,6666.97619117,9772.07051646,6437.44616774,9976.28929159,6534.54463325,8.62041250
2018-09-13,9732.54606668,6389.15746675,9974.78392232,6561.34774142,9727.00280660,6378.44221191,9974.78392232,6561.34774142,4.05542310
2018-09-12,9759.21374910,6363.46097736,9825.68871305,6416.72202344,9649.32275473,6288.12090900,9742.98785333,6396.01222178,8.24571876
2018-09-11,9764.24244817,6371.51346975,10106.04351350,6591.33023145,9763.01416554,6365.82695352,9948.38354711,6486.80847837,7.00100348
2018-09-10,9506.13173410,6211.39201214,9848.29797391,6437.57866898,9491.23574744,6199.24870671,9800.43880812,6395.13287455,5.61945376
2018-09-09,9668.92955196,6320.57804847,9711.57827264,6348.45751189,9370.99895120,6121.62661689,9506.13173410,6211.39201214,2.13277458
2018-09-08,9879.51303862,6458.23644757,10140.42369118,6628.79370878,9653.03778831,6310.18960454,9655.20848531,6311.60858891,3.18446474
2018-09-07,9905.58740428,6523.55050053,10030.89509906,6599.84697660,9787.69821690,6437.85627306,9879.50685044,6458.23240236,8.70578951
2018-09-06,10580.81400420,6980.05494174,10602.26832097,6996.21580488,9778.61447955,6450.99008132,9898.55948792,6518.92210593,5.50593554
2018-09-05,11012.46910223,7211.73389379,11069.26364547,7251.44221171,10606.83049025,6996.55159020,10606.83049025,6997.21775189,10.38339627
2018-09-04,10728.96654078,7084.81902637,11092.69187896,7271.01174875,10636.87635929,7014.57690425,11012.46573371,7211.73168785,10.68761147
2018-09-03,10927.65714735,7216.62381597,11080.30414774,7324.41173152,10694.17480852,7061.55070843,10730.04861279,7085.53356718,7.57692961
2018-09-02,10778.06001898,7131.88421438,10990.25171407,7272.29228392,10662.66738917,7055.52846264,10907.07137232,7203.02897196,7.74238111
2018-09-01,10277.05555350,6800.36761191,10941.22817915,7239.85322028,10267.78039213,6794.23020158,10842.00625459,7174.19768708,6.59677412
2018-08-31,10539.52999614,7014.21406429,10605.40630536,7040.54101239,10197.32590196,6747.61019154,10277.05555350,6800.36761191,7.20872232
2018-08-30,10558.07862216,7089.16558373,10702.97810801,7135.23311588,10474.67684403,6976.03024929,10539.52999614,7014.21406429,6.66672707
2018-08-29,10384.23497016,6970.15999334,10558.77831965,7089.63539188,10312.41078187,6920.53299260,10558.77831965,7089.63539188,7.78211735
2018-08-28,10502.35670559,7031.32771595,10569.01137786,7087.58334917,10357.64005566,6950.01240799,10377.13720709,6965.39579605,7.00775643
2018-08-27,9858.61642300,6601.72259699,10507.66790566,7034.88356435,9844.19402595,6585.86850998,10507.66790566,7034.88356435,7.01847635
2018-08-26,10264.31170850,6858.64936588,10264.31170850,6858.64936588,9836.38714844,6586.83698852,9845.87481252,6593.19030664,2.24778726
2018-08-25,10057.62797257,6720.54256294,10342.10894340,6910.63375323,10049.97620412,6715.42962421,10254.09077254,6851.81970034,6.05760291
2018-08-24,9791.12817736,6491.90804788,10180.75265619,6802.81491175,9674.93075873,6422.00527221,10057.62797257,6720.54256294,2.90342488
2018-08-23,9624.71484995,6447.71790914,9767.15859971,6520.57472872,9582.78373181,6359.13480622,9750.86383524,6465.21118498,7.41118039
2018-08-22,9849.17662854,6602.65242914,10221.31183642,6854.51242400,9565.15842593,6403.11898420,9618.32130928,6443.43479558,14.91818908
2018-08-21,9822.49853476,6526.20417356,9863.65606819,6602.65242914,9765.81201840,6491.90833063,9849.17662854,6602.65242914,7.36321348
2018-08-20,9927.65548024,6577.86471725,10006.17314742,6627.78105480,9802.44764670,6516.83092960,9814.17151278,6520.67158473,7.96551134
2018-08-19,9777.72425064,6488.49732479,9930.01859712,6579.43047094,9610.68019961,6377.64690086,9930.01859712,6579.43047094,4.82817904
2018-08-18,10095.47799546,6699.35869400,10216.49781968,6779.66744331,9777.72425064,6488.49732479,9777.72425064,6488.49732479,5.47977635
2018-08-17,9699.85256040,6389.43932173,10095.71716919,6699.51740967,9699.85256040,6389.43932173,10095.71716919,6699.51740967,2.95157221
2018-08-16,9727.69846278,6381.41726091,10048.66079192,6589.13021851,9700.04021938,6376.11464383,9700.07914328,6389.58857530,767.08516906
2018-08-15,9406.50230399,6185.81055306,10008.72454215,6567.92602441,9335.39422166,6121.40338309,9727.75706555,6381.45570462,390.84672313
2018-08-14,9661.07543529,6354.95890476,9690.06821261,6376.79010348,9300.68127988,6122.43021183,9406.36053114,6185.71732181,16.50902110
2018-08-13,9806.88473656,6464.89569593,10010.95818037,6590.16519736,9647.26005204,6346.00486251,9661.07543529,6354.95890476,10.52192634
2018-08-12,9969.88854094,6561.18325119,10106.03909764,6650.78392712,9784.59429238,6439.24111360,9802.20713687,6461.81212811,2.31920136
2018-08-11,9776.83951870,6434.13769735,9999.18295073,6580.46190110,9644.96780186,6347.35292576,9966.90581537,6559.22031961,2.80802983
2018-08-10,9976.73173066,6587.28852905,10059.78059668,6634.76759781,9689.83761565,6378.13258816,9776.83951870,6434.13769735,12.78055591
